Qubit,Value,RGB1,RGB2,RGB3,Active
Q4,0.0029259781409589182,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,0.0024671214660204333,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,0.0019489803851596439,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,0.003162430808049116,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,0.0031931639333812197,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.0023985945663713014,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,0.0022220670044010996,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,0.007623150722959049,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,0.0046303256807667505,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q13,0.004362711713529232,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q0,0.0,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q1,0.002647311903255473,0.8106543271652416,0.9218447051984724,0.9373759048616408,0
Q2,0.0025131220411436267,0.763897854764939,0.7572688769419182,0.9494023023345208,0
Q3,0.003130155657001724,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
Q4,0.0019220961613152397,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q5,0.0014776426228299703,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q6,0.0014111026967457295,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q7,0.0022780283711880574,0.10361479515598847,0.09497494261006116,0.20622110711523312,0
Q8,0.002189475087965856,0.08259385956193721,0.27284810506762325,0.3077201223179875,0
Q9,0.002151252334332871,0.17004232121057958,0.43679759647517286,0.2237255555555555,0
Q10,0.001867034233737496,0.4587619752319175,0.48057366087571074,0.19972785287539777,0
Q11,0.003175208309548491,0.7576693751824222,0.47696440257052414,0.4377552097141371,0
Q12,0.003802515236379728,0.8299576787894204,0.5632024035248271,0.7762744444444444,0
